service,port,transport
discard,9,sctp
ftp-data,20,sctp
ftp,21,sctp
ssh,22,sctp
http,80,sctp
bgp,179,sctp
https,443,sctp
exp1,1021,sctp
exp2,1022,sctp
cisco-ipsla,1167,sctp
norp,1528,sctp
h323hostcall,1720,sctp
nfs,2049,sctp
rcip-itu,2225,sctp
m2ua,2904,sctp
m3ua,2905,sctp
megaco-h248,2944,sctp
h248-binary,2945,sctp
itu-bicc-stc,3097,sctp
m2pa,3565,sctp
asap-sctp,3863,sctp
asap-sctp-tls,3864,sctp
diameter,3868,sctp
aws-wsp,4195,sctp
ahsp,4333,sctp
a25-fap-fgw,4502,sctp
trinity-dist,4711,sctp
ipfix,4739,sctp
ipfixs,4740,sctp
sip,5060,sctp
sips,5061,sctp
car,5090,sctp
cxtp,5091,sctp
noteza,5215,sctp
smbdirect,5445,sctp
amqp,5672,sctp
v5ua,5675,sctp
diameters,5868,sctp
ff-ice,5903,sctp
ag-swim,5904,sctp
asmgcs,5905,sctp
rpas-c2,5906,sctp
dsd,5907,sctp
ipsma,5908,sctp
agma,5909,sctp
cm,5910,sctp
cpdlc,5911,sctp
fis,5912,sctp
ads-c,5913,sctp
ipsdtls,5914,sctp
frc-hp,6704,sctp
frc-mp,6705,sctp
frc-lp,6706,sctp
conductor-mpx,6970,sctp
simco,7626,sctp
nfapi,7701,sctp
osvr,7728,sctp
pim-port,8471,sctp
lcs-ap,9082,sctp
aurora,9084,sctp
iua,9900,sctp
enrp-sctp,9901,sctp
enrp-sctp-tls,9902,sctp
xcompute,11235,sctp
wmereceiving,11997,sctp
wmedistribution,11998,sctp
wmereporting,11999,sctp
sua,14001,sctp
dnp-sec,19999,sctp
dnp,20000,sctp
nfsrdma,20049,sctp
rna,25471,sctp
sgsap,29118,sctp
sbcap,29168,sctp
iuhsctpassoc,29169,sctp
rwp,30100,sctp
s1-control,36412,sctp
x2-control,36422,sctp
slmap,36423,sctp
nq-ap,36424,sctp
m2ap,36443,sctp
m3ap,36444,sctp
xw-control,36462,sctp
3gpp-w1ap,37472,sctp
ng-control,38412,sctp
xn-control,38422,sctp
e1-interface,38462,sctp
f1-control,38472,sctp
tcpmux,1,tcp
rje,5,tcp
echo,7,tcp
discard,9,tcp
systat,11,tcp
daytime,13,tcp
qotd,17,tcp
msp,18,tcp
chargen,19,tcp
ftp-data,20,tcp
ftp,21,tcp
ssh,22,tcp
telnet,23,tcp
smtp,25,tcp
nsw-fe,27,tcp
msg-icp,29,tcp
msg-auth,31,tcp
dsp,33,tcp
time,37,tcp
rap,38,tcp
rlp,39,tcp
graphics,41,tcp
name,42,tcp
nicname,43,tcp
mpm-flags,44,tcp
mpm,45,tcp
mpm-snd,46,tcp
auditd,48,tcp
tacacs,49,tcp
re-mail-ck,50,tcp
xns-time,52,tcp
domain,53,tcp
xns-ch,54,tcp
isi-gl,55,tcp
xns-auth,56,tcp
xns-mail,58,tcp
acas,62,tcp
whoispp,63,tcp
covia,64,tcp
tacacs-ds,65,tcp
sql-net,66,tcp
bootps,67,tcp
bootpc,68,tcp
tftp,69,tcp
gopher,70,tcp
netrjs-1,71,tcp
netrjs-2,72,tcp
netrjs-3,73,tcp
netrjs-4,74,tcp
deos,76,tcp
vettcp,78,tcp
finger,79,tcp
http,80,tcp
xfer,82,tcp
mit-ml-dev,83,tcp
ctf,84,tcp
mit-ml-dev,85,tcp
mfcobol,86,tcp
kerberos,88,tcp
su-mit-tg,89,tcp
dnsix,90,tcp
mit-dov,91,tcp
npp,92,tcp
dcp,93,tcp
objcall,94,tcp
supdup,95,tcp
dixie,96,tcp
swift-rvf,97,tcp
tacnews,98,tcp
metagram,99,tcp
hostname,101,tcp
iso-tsap,102,tcp
gppitnp,103,tcp
acr-nema,104,tcp
cso,105,tcp
3com-tsmux,106,tcp
rtelnet,107,tcp
snagas,108,tcp
pop2,109,tcp
pop3,110,tcp
sunrpc,111,tcp
mcidas,112,tcp
ident,113,tcp
sftp,115,tcp
ansanotify,116,tcp
uucp-path,117,tcp
sqlserv,118,tcp
nntp,119,tcp
cfdptkt,120,tcp
erpc,121,tcp
smakynet,122,tcp
ntp,123,tcp
ansatrader,124,tcp
locus-map,125,tcp
nxedit,126,tcp
locus-con,127,tcp
gss-xlicen,128,tcp
pwdgen,129,tcp
cisco-fna,130,tcp
cisco-tna,131,tcp
cisco-sys,132,tcp
statsrv,133,tcp
ingres-net,134,tcp
epmap,135,tcp
profile,136,tcp
netbios-ns,137,tcp
netbios-dgm,138,tcp
netbios-ssn,139,tcp
emfis-data,140,tcp
emfis-cntl,141,tcp
bl-idm,142,tcp
imap,143,tcp
uma,144,tcp
uaac,145,tcp
iso-tp0,146,tcp
iso-ip,147,tcp
jargon,148,tcp
aed-512,149,tcp
sql-net,150,tcp
hems,151,tcp
bftp,152,tcp
sgmp,153,tcp
netsc-prod,154,tcp
netsc-dev,155,tcp
sqlsrv,156,tcp
knet-cmp,157,tcp
pcmail-srv,158,tcp
nss-routing,159,tcp
sgmp-traps,160,tcp
snmp,161,tcp
snmptrap,162,tcp
cmip-man,163,tcp
cmip-agent,164,tcp
xns-courier,165,tcp
s-net,166,tcp
namp,167,tcp
rsvd,168,tcp
send,169,tcp
print-srv,170,tcp
multiplex,171,tcp
cl-1,172,tcp
xyplex-mux,173,tcp
mailq,174,tcp
vmnet,175,tcp
genrad-mux,176,tcp
xdmcp,177,tcp
nextstep,178,tcp
bgp,179,tcp
ris,180,tcp
unify,181,tcp
audit,182,tcp
ocbinder,183,tcp
ocserver,184,tcp
remote-kis,185,tcp
kis,186,tcp
aci,187,tcp
mumps,188,tcp
qft,189,tcp
gacp,190,tcp
prospero,191,tcp
osu-nms,192,tcp
srmp,193,tcp
irc,194,tcp
dn6-nlm-aud,195,tcp
dn6-smm-red,196,tcp
dls,197,tcp
dls-mon,198,tcp
smux,199,tcp
src,200,tcp
at-rtmp,201,tcp
at-nbp,202,tcp
at-3,203,tcp
at-echo,204,tcp
at-5,205,tcp
at-zis,206,tcp
at-7,207,tcp
at-8,208,tcp
qmtp,209,tcp
z39-50,210,tcp
914c-g,211,tcp
anet,212,tcp
ipx,213,tcp
vmpwscs,214,tcp
softpc,215,tcp
CAIlic,216,tcp
dbase,217,tcp
mpp,218,tcp
uarps,219,tcp
imap3,220,tcp
fln-spx,221,tcp
rsh-spx,222,tcp
cdc,223,tcp
masqdialer,224,tcp
direct,242,tcp
sur-meas,243,tcp
inbusiness,244,tcp
link,245,tcp
dsp3270,246,tcp
subntbcst-tftp,247,tcp
bhfhs,248,tcp
rap,256,tcp
set,257,tcp
esro-gen,259,tcp
openport,260,tcp
nsiiops,261,tcp
arcisdms,262,tcp
hdap,263,tcp
bgmp,264,tcp
x-bone-ctl,265,tcp
sst,266,tcp
td-service,267,tcp
td-replica,268,tcp
manet,269,tcp
pt-tls,271,tcp
http-mgmt,280,tcp
personal-link,281,tcp
cableport-ax,282,tcp
rescap,283,tcp
corerjd,284,tcp
fxp,286,tcp
k-block,287,tcp
tacacss,300,tcp
novastorbakcup,308,tcp
entrusttime,309,tcp
bhmds,310,tcp
asip-webadmin,311,tcp
vslmp,312,tcp
magenta-logic,313,tcp
opalis-robot,314,tcp
dpsi,315,tcp
decauth,316,tcp
zannet,317,tcp
pkix-timestamp,318,tcp
ptp-event,319,tcp
ptp-general,320,tcp
pip,321,tcp
rtsps,322,tcp
rpki-rtr,323,tcp
rpki-rtr-tls,324,tcp
texar,333,tcp
pdap,344,tcp
pawserv,345,tcp
zserv,346,tcp
fatserv,347,tcp
csi-sgwp,348,tcp
mftp,349,tcp
matip-type-a,350,tcp
matip-type-b,351,tcp
dtag-ste-sb,352,tcp
ndsauth,353,tcp
bh611,354,tcp
datex-asn,355,tcp
cloanto-net-1,356,tcp
bhevent,357,tcp
shrinkwrap,358,tcp
scoi2odialog,360,tcp
semantix,361,tcp
srssend,362,tcp
rsvp-tunnel,363,tcp
aurora-cmgr,364,tcp
dtk,365,tcp
odmr,366,tcp
mortgageware,367,tcp
qbikgdp,368,tcp
rpc2portmap,369,tcp
codaauth2,370,tcp
clearcase,371,tcp
ulistproc,372,tcp
legent-1,373,tcp
legent-2,374,tcp
hassle,375,tcp
nip,376,tcp
tnETOS,377,tcp
dsETOS,378,tcp
is99c,379,tcp
is99s,380,tcp
hp-collector,381,tcp
hp-managed-node,382,tcp
hp-alarm-mgr,383,tcp
arns,384,tcp
ibm-app,385,tcp
asa,386,tcp
aurp,387,tcp
unidata-ldm,388,tcp
ldap,389,tcp
uis,390,tcp
synotics-relay,391,tcp
synotics-broker,392,tcp
meta5,393,tcp
embl-ndt,394,tcp
netcp,395,tcp
netware-ip,396,tcp
mptn,397,tcp
kryptolan,398,tcp
iso-tsap-c2,399,tcp
osb-sd,400,tcp
ups,401,tcp
genie,402,tcp
decap,403,tcp
nced,404,tcp
ncld,405,tcp
imsp,406,tcp
timbuktu,407,tcp
prm-sm,408,tcp
prm-nm,409,tcp
decladebug,410,tcp
rmt,411,tcp
synoptics-trap,412,tcp
smsp,413,tcp
infoseek,414,tcp
bnet,415,tcp
silverplatter,416,tcp
onmux,417,tcp
hyper-g,418,tcp
ariel1,419,tcp
smpte,420,tcp
ariel2,421,tcp
ariel3,422,tcp
opc-job-start,423,tcp
opc-job-track,424,tcp
icad-el,425,tcp
smartsdp,426,tcp
svrloc,427,tcp
ocs-cmu,428,tcp
ocs-amu,429,tcp
utmpsd,430,tcp
utmpcd,431,tcp
iasd,432,tcp
nnsp,433,tcp
mobileip-agent,434,tcp
mobilip-mn,435,tcp
dna-cml,436,tcp
comscm,437,tcp
dsfgw,438,tcp
dasp,439,tcp
sgcp,440,tcp
decvms-sysmgt,441,tcp
cvc-hostd,442,tcp
https,443,tcp
snpp,444,tcp
microsoft-ds,445,tcp
ddm-rdb,446,tcp
ddm-dfm,447,tcp
ddm-ssl,448,tcp
as-servermap,449,tcp
tserver,450,tcp
sfs-smp-net,451,tcp
sfs-config,452,tcp
creativeserver,453,tcp
contentserver,454,tcp
creativepartnr,455,tcp
macon-tcp,456,tcp
scohelp,457,tcp
appleqtc,458,tcp
ampr-rcmd,459,tcp
skronk,460,tcp
datasurfsrv,461,tcp
datasurfsrvsec,462,tcp
alpes,463,tcp
kpasswd,464,tcp
urd,465,tcp
digital-vrc,466,tcp
mylex-mapd,467,tcp
photuris,468,tcp
rcp,469,tcp
scx-proxy,470,tcp
mondex,471,tcp
ljk-login,472,tcp
hybrid-pop,473,tcp
tn-tl-w1,474,tcp
tcpnethaspsrv,475,tcp
tn-tl-fd1,476,tcp
